sample_duration,sample_offset,threshold_method,threshold,event_minimum_rel_overlap,event_preictal_tolerance,event_postictal_tolerance,event_minimum_separation,event_maximum_duration,n_samples,n_true_seizures,total_duration,sample_roc_auc,sample_prc_auc,sample_tp,sample_tn,sample_fp,sample_fn,sample_sensitivity,sample_specificity,sample_precision,sample_recall,sample_f_score,sample_accuracy,sample_balanced_accuracy,event_tp,event_fp,event_sensitivity,event_precision,event_recall,event_f_score,event_false_detections_per_hour,event_false_detections_per_interictal_hour,event_average_detection_delay,model,patient,fold
3,3,fixed,0.3125,0,30,60,90,360,9596,3,28788,0.990774209005844,0.932740068227942,295,8982,302,17,0.9455128205128205,0.9674709177078845,0.49413735343383586,0.9455128205128205,0.6490649064906491,0.9667569820758649,0.9564918691103526,3,63,1.0,0.045454545454545456,1.0,0.08695652173913045,7.878282617757399,8.14304179233089,-30.0,epidenet_1ch_og,5,0
3,3,fixed,0.2568359375,0,30,60,90,360,2399,1,7197,0.9952219975916659,0.9732463659995771,76,2263,58,2,0.9743589743589743,0.975010771219302,0.5671641791044776,0.9743589743589743,0.7169811320754718,0.9749895789912464,0.9746848727891382,1,15,1.0,0.0625,1.0,0.11764705882352941,7.503126302626095,7.755277897457992,-30.0,epidenet_1ch_og_mean,5,0
3,3,fixed,0.3002377152442932,0,30,60,90,360,9596,3,28788,0.9926272384803191,0.9459582034345972,299,8953,331,13,0.9583333333333334,0.9643472641102973,0.4746031746031746,0.9583333333333334,0.6348195329087049,0.9641517298874531,0.9613402987218154,3,64,1.0,0.04477611940298507,1.0,0.08571428571428572,8.003334722801167,8.272296423955192,-30.0,epidenet_1ch_v3_2,5,0
3,3,fixed,0.34122633934020996,0,30,60,90,360,2399,1,7197,0.9960422673692817,0.9828968710927134,77,2281,40,1,0.9871794871794872,0.98276604911676,0.6581196581196581,0.9871794871794872,0.7897435897435897,0.9829095456440183,0.9849727681481236,1,14,1.0,0.06666666666666667,1.0,0.125,7.002917882451022,7.238259370960793,-30.0,epidenet_1ch_v3_2_mean,5,0
3,3,fixed,0.6123261451721191,0,30,60,90,360,2399,1,7197,0.9987820236635403,0.9784604997210387,78,1879,442,0,1.0,0.8095648427401982,0.15,1.0,0.2608695652173913,0.8157565652355148,0.9047824213700991,1,28,1.0,0.034482758620689655,1.0,0.06666666666666667,14.005835764902043,14.476518741921586,-30.0,epidenet_4ch,5,0
3,3,fixed,0.15625,0,30,60,90,360,9596,3,28788,0.9887820926563395,0.9557374141827455,257,9291,5,43,0.8566666666666667,0.9994621342512908,0.9809160305343512,0.8566666666666667,0.9145907473309609,0.9949979157982493,0.9280644004589788,3,4,1.0,0.42857142857142855,1.0,0.6,0.5002084201750729,0.5163511187607572,-30.0,epidenet_1ch_og,5,1
3,3,fixed,0.1533203125,0,30,60,90,360,2399,1,7197,0.9972604704532416,0.9761053608789845,67,2323,1,8,0.8933333333333333,0.9995697074010327,0.9852941176470589,0.8933333333333333,0.9370629370629371,0.9962484368486869,0.946451520367183,1,1,1.0,0.5,1.0,0.6666666666666666,0.5002084201750729,0.5163511187607572,12.0,epidenet_1ch_og_mean,5,1
3,3,fixed,0.6437097191810608,0,30,60,90,360,9596,3,28788,0.9888095238095238,0.959942860535351,263,9288,8,37,0.8766666666666667,0.9991394148020654,0.9704797047970479,0.8766666666666667,0.9211908931698775,0.9953105460608587,0.937903040734366,3,4,1.0,0.42857142857142855,1.0,0.6,0.5002084201750729,0.5163511187607572,-30.0,epidenet_1ch_v3_2,5,1
3,3,fixed,0.49616044759750366,0,30,60,90,360,2399,1,7197,0.9982788296041308,0.9771323058455295,69,2324,0,6,0.92,1.0,1.0,0.92,0.9583333333333334,0.9974989578991247,0.96,1,0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,epidenet_1ch_v3_2_mean,5,1
3,3,fixed,0.27780085802078247,0,30,60,90,360,2399,1,7197,0.9989099254159496,0.9864962661689191,71,2321,3,4,0.9466666666666667,0.9987091222030982,0.9594594594594594,0.9466666666666667,0.9530201342281879,0.9970821175489787,0.9726878944348825,1,3,1.0,0.25,1.0,0.4,1.5006252605252188,1.549053356282272,6.0,epidenet_4ch,5,1
3,3,fixed,0.76953125,0,30,60,90,360,9596,3,28788,0.9860493463351907,0.9159972178370008,227,9307,25,37,0.8598484848484849,0.9973210458636949,0.9007936507936508,0.8598484848484849,0.8798449612403102,0.9935389745727387,0.9285847653560899,3,15,1.0,0.16666666666666666,1.0,0.2857142857142857,1.8757815756565237,1.9288469781397344,-5.0,epidenet_1ch_og,5,2
3,3,fixed,0.6025390625,0,30,60,90,360,2399,1,7197,0.9940413565574303,0.9539603498149057,60,2333,0,6,0.9090909090909091,1.0,1.0,0.9090909090909091,0.9523809523809523,0.9974989578991247,0.9545454545454546,1,0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,epidenet_1ch_og_mean,5,2
3,3,fixed,0.4553028345108032,0,30,60,90,360,9596,3,28788,0.9741353066671863,0.9151296524926109,234,9284,48,30,0.8863636363636364,0.994856408058294,0.8297872340425532,0.8863636363636364,0.8571428571428571,0.9918716131721551,0.9406100222109652,3,23,1.0,0.11538461538461539,1.0,0.20689655172413793,2.8761984160066696,2.957565366480926,-5.0,epidenet_1ch_v3_2,5,2
