layer_id,layer,duration,voltage_avg,voltage_stdev,voltage_min,voltage_max,current_avg,current_stdev,current_min,current_max,power_avg,power_stdev,power_min,power_max,energy
6,CONV_2D,0.001285,1.8023958,0.0006767200538888574,1.8003514,1.8044838,0.006829904,0.0007145554991438985,0.004876838,0.008935716,0.0123100635,0.0012865912867709994,0.008795841,0.016112657,1.5818431554362175e-05
7,AVERAGE_POOL_2D,0.000119,1.8024026,0.0006435980903916061,1.8009218,1.8040227,0.0061236136,0.00035895121982321143,0.005331175,0.0067481515,0.011037161,0.0006459860596805811,0.00961121,0.0121528935,1.3134221164509654e-06
8,RESHAPE,8e-06,1.8025295,0.000875977159012109,1.8011895,1.8037105,0.005438515,0.00011775966413551942,0.005191502,0.0055605546,0.009803023,0.0002095272357109934,0.009361219,0.010021764,7.842418551445006e-08
9,FULLY_CONNECTED,2.9e-05,1.8022479,0.0006306619616225362,1.8007919,1.8036339,0.0055980887,0.00022880501637700945,0.0050560636,0.0059380936,0.010089142,0.00041237464756704867,0.009111117,0.010705363,2.9258512519299984e-07
10,LOGISTIC,2.2e-05,1.8026981,0.000526780670043081,1.8018099,1.8039093,0.00540751,0.00018639431800693274,0.0049346313,0.0057464186,0.009748083,0.0003353706852067262,0.008901628,0.010357172,2.1445781737565993e-07
11,DEQUANTIZE,1e-05,1.802654,0.0006336618680506945,1.8018253,1.8038479,0.005182872,0.000109056883957237,0.005062218,0.0053879237,0.009342907,0.00019568724383134395,0.009130922,0.009710546,9.342906996607781e-08
1,QUANTIZE,0.000765,1.8022412,0.0006236420013010502,1.7999476,1.8042626,0.005708028,0.00021030398784205317,0.0048825005,0.00610666,0.010287246,0.000379084114683792,0.008795557,0.011006915,7.869742987677454e-06
2,CONV_2D,0.001002,1.802568,0.0007074136519804597,1.7999727,1.8047293,0.005386999,0.00047387019731104374,0.0047329073,0.007346262,0.009710371,0.0008534395019523799,0.008534513,0.013238259,9.72979130409658e-06
3,MAX_POOL_2D,8.4e-05,1.8022684,0.0006223894306458533,1.8007089,1.803616,0.0061848164,0.000588843657169491,0.005020757,0.0069665583,0.0111465715,0.0010599741945043206,0.0090492545,0.012551854,9.363120049238205e-07
4,CONV_2D,0.002852,1.8022273,0.000700558943208307,1.7996267,1.8048747,0.0067043533,0.0006183661753311753,0.004909329,0.009017734,0.012082682,0.0011133686639368534,0.008849181,0.016253827,3.445980903878808e-05
5,MAX_POOL_2D,0.00019,1.8023877,0.0005983845330774784,1.8006972,1.8036838,0.0063701766,0.0005086409510113299,0.004800814,0.0070888773,0.011481488,0.0009162286296486855,0.008651953,0.012777843,2.181482743471861e-06
6,CONV_2D,0.001286,1.8020273,0.0006999916513450444,1.800017,1.804184,0.0068339817,0.0007117778877727687,0.0048339358,0.008847632,0.012314859,0.0012808870524168015,0.008715825,0.015944144,1.58369084764272e-05
7,AVERAGE_POOL_2D,0.000119,1.8024828,0.0007172684418037534,1.8010234,1.804303,0.006118187,0.0003545348590705544,0.0052297316,0.00668761,0.011027921,0.0006390514899976552,0.009422444,0.012053576,1.3123225979506971e-06
8,RESHAPE,8e-06,1.8020456,0.0002628766233101487,1.8015813,1.8023789,0.0052379277,0.00012745700951199979,0.005054542,0.005385317,0.0094389655,0.0002289585827384144,0.009107936,0.009702086,7.551172375679016e-08
9,FULLY_CONNECTED,2.9e-05,1.8025949,0.00045004201820120215,1.8017472,1.8035312,0.0056206477,0.0002198609581682831,0.0052292715,0.005991096,0.010131738,0.0003960711183026433,0.0094311545,0.010797198,2.938204063102603e-07
10,LOGISTIC,2.2e-05,1.8021525,0.0004848437965847552,1.8013496,1.8030026,0.0054457877,0.00019102441729046404,0.0051127723,0.005811424,0.009814092,0.00034285581205040216,0.009212221,0.010469178,2.159100230783224e-07
11,DEQUANTIZE,1e-05,1.8028183,0.0006829900667071342,1.8020288,1.8041395,0.0050762976,0.00014840520452708006,0.0049051987,0.0053846515,0.009151697,0.00026946538127958775,0.008842385,0.009714662,9.151697158813477e-08
1,QUANTIZE,0.000765,1.8024771,0.0006456980481743813,1.800573,1.8043776,0.0057147,0.00020479886734392494,0.005131302,0.0060899784,0.010300613,0.00036904655280523,0.009249264,0.010979019,7.879968951456248e-06
2,CONV_2D,0.001003,1.802289,0.0006608146941289306,1.8001056,1.8042908,0.005381283,0.00047931866720318794,0.004694646,0.007476823,0.009698569,0.0008631392847746611,0.008454672,0.013473633,9.727664549835026e-06
3,MAX_POOL_2D,8.4e-05,1.8022742,0.0006933234981261194,1.8004124,1.8038445,0.0061985916,0.000595731835346669,0.0048082117,0.0070336084,0.0111714555,0.0010725535685196519,0.008666463,0.012674001,9.384022615849971e-07
4,CONV_2D,0.002852,1.8021084,0.0006607431569136679,1.799639,1.8042729,0.006700655,0.0006269623409025371,0.0050874953,0.008932102,0.012075224,0.0011288343230262399,0.0091701895,0.01608693,3.443853873386979e-05
5,MAX_POOL_2D,0.00019,1.802009,0.0006969569949433208,1.8001795,1.8036863,0.0063500474,0.000454285298474133,0.0049080146,0.0070132297,0.011442812,0.0008182603633031249,0.0088515375,0.012636754,2.174134310334921e-06
6,CONV_2D,0.001286,1.8022852,0.0007014525472186506,1.7996656,1.804595,0.0068244007,0.0007131759193725884,0.0047811745,0.008952332,0.012299353,0.0012836349196732044,0.0086200135,0.016140984,1.581696828827262e-05
7,AVERAGE_POOL_2D,0.000119,1.8021516,0.0006186191458255053,1.8006079,1.8039054,0.006118763,0.0004294445679988712,0.005057658,0.00676586,0.011026902,0.0007734138634987175,0.009114776,0.012192106,1.3122013527899981e-06
